시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,중개사소재지
인천광역시 부평구 부평동,372-12,372,12,현대홈타운,38.712,202308,11,"17,000",8,2014,주부토로 28-2,,20230925,중개거래,인천 계양구
인천광역시 부평구 부평동,799-5,799,5,가나안미도,59.31,202309,23,"26,500",4,1986,부평대로165번길 40,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,378-9,378,9,남송,56.14,202309,26,"17,800",10,2011,장제로155번길 7,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,161-4,161,4,다인팰리스,55.12,202309,5,"23,500",2,2020,장제로 48,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,437-2,437,2,대경이즈뷰,84.72,202309,5,"28,400",9,2005,주부토로65번길 19,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,64-20,64,20,대림1차,84.998,202309,5,"38,500",9,1989,부영로 196,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,64-20,64,20,대림1차,76.388,202309,13,"28,800",15,1989,부영로 196,, ,중개거래,"인천 강화군, 인천 부평구"
인천광역시 부평구 부평동,64-20,64,20,대림1차,50.155,202309,14,"21,000",3,1989,부영로 196,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,64-20,64,20,대림1차,84.998,202309,17,"39,000",3,1989,부영로 196,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,64-20,64,20,대림1차,84.998,202309,22,"35,000",15,1989,부영로 196,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,64-20,64,20,대림1차,84.998,202309,23,"33,000",1,1989,부영로 196,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,64-20,64,20,대림1차,84.998,202309,23,"37,000",8,1989,부영로 196,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,64-20,64,20,대림1차,84.998,202309,27,"38,900",6,1989,부영로 196,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,65-115,65,115,대우,59.351,202309,19,"40,500",20,1998,부흥로243번길 7,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,182-15,182,15,더원레뷰2차,47.6,202309,20,"21,000",8,2014,광장로24번길 49,,20230920,중개거래,경기 부천시
인천광역시 부평구 부평동,May-70,70,5,동아(1차),84.87,202309,1,"59,000",7,1986,부평문화로 37,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,May-70,70,5,동아(1차),76.74,202309,6,"49,000",4,1986,부평문화로 37,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,May-70,70,5,동아(1차),52.43,202309,6,"35,200",9,1986,부평문화로 37,,20231005,중개거래,인천 부평구
인천광역시 부평구 부평동,May-70,70,5,동아(1차),76.74,202309,9,"49,000",7,1986,부평문화로 37,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,May-70,70,5,동아(1차),52.43,202309,10,"35,000",4,1986,부평문화로 37,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,May-70,70,5,동아(1차),52.43,202309,11,"35,000",13,1986,부평문화로 37,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,May-70,70,5,동아(1차),84.87,202309,22,"59,000",9,1986,부평문화로 37,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,70-123,70,123,동아(2차),59.82,202309,1,"36,000",10,1995,부흥로 246,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,70-123,70,123,동아(2차),164.86,202309,5,"75,300",11,1995,부흥로 246,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,70-123,70,123,동아(2차),84.72,202309,8,"61,600",13,1995,부흥로 246,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,534-96,534,96,두산위브,84.84,202309,15,"47,000",12,2005,경원대로1344번길 8,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,947,947,0,래미안부평,84.963,202309,13,"60,000",4,2014,길주남로10번길 21,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,947,947,0,래미안부평,84.968,202309,16,"61,000",14,2014,길주남로10번길 21,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,947,947,0,래미안부평,84.993,202309,18,"53,500",1,2014,길주남로10번길 21,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,947,947,0,래미안부평,59.923,202309,25,"48,000",17,2014,길주남로10번길 21,, ,중개거래,"인천 계양구, 인천 부평구"
인천광역시 부평구 부평동,438-1,438,1,백조주상복합,55.35,202309,8,"17,300",4,1997,부평대로98번길 35,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,632-3,632,3,부평라일실크빌아파트,84.93,202309,18,"35,500",8,2007,경인로980번길 34,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,341-212,341,212,브래인씨티,39.73,202309,18,"15,000",10,2017,경원대로1363번길 39,,20230918,직거래,-
인천광역시 부평구 부평동,496-2,496,2,서린레이크,49.68,202309,16,"16,900",8,2015,장제로52번길 31,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,222-2,222,2,스위트홈,41.39,202309,3,"18,000",8,2014,시장로 67,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,140-6,140,6,신영(1동2동),46.73,202309,14,"26,815",4,1983,길주남로90번길 45,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,132-3,132,3,신현대타운(132-3),53.52,202309,14,"11,700",5,2003,부흥로360번길 18,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,204-20,204,20,아이홈아파트,65.15,202309,6,"26,700",10,2016,대정로 42,, ,중개거래,인천 미추홀구
인천광역시 부평구 부평동,415-3,415,3,우주마루,68.62,202309,1,"19,800",7,2011,주부토로 54,,20230925,중개거래,인천 부평구
인천광역시 부평구 부평동,415-3,415,3,우주마루,68.62,202309,1,"19,800",7,2011,주부토로 54,20230912, ,중개거래,인천 부평구
인천광역시 부평구 부평동,Jul-65,65,7,욱일,80.65,202309,21,"24,000",8,1990,부흥로243번길 39,,20230921,직거래,-
인천광역시 부평구 부평동,70-78,70,78,창보,59.83,202309,1,"23,000",12,1999,부영로166번길 16,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,379-77,379,77,케이(2동),59.84,202309,1,"20,500",5,2014,주부토로66번길 65,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,379-77,379,77,케이(2동),69.81,202309,9,"25,000",12,2014,주부토로66번길 65,, ,중개거래,"인천 부평구, 인천 서구"
인천광역시 부평구 부평동,180-19,180,19,투엠레뷰,43.19,202309,23,"15,750",10,2013,광장로30번길 74,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,436-13,436,13,파크에비뉴,58.55,202309,18,"18,000",14,2016,주부토로65번길 38,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,577-2,577,2,퍼스트City56,49.72,202309,24,"21,500",10,2015,대정로 76,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,Apr-45,45,4,프리미엄팰리스,84.61,202309,1,"33,500",5,2019,부평대로 151,,20230925,중개거래,인천 부평구
인천광역시 부평구 부평동,373-15,373,15,필하우스,83.36,202309,5,"28,500",7,2009,주부토로 27,, ,중개거래,"경기 부천시, 서울 강서구"
인천광역시 부평구 부평동,442-3,442,3,한국,72.53,202309,2,"28,000",7,1992,동수로120번길 11,20230904, ,중개거래,인천 부평구
인천광역시 부평구 부평동,442-3,442,3,한국,84.195,202309,11,"27,000",10,1992,동수로120번길 11,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,179-8,179,8,해피에이스,43.17,202309,5,"19,000",10,2015,경원대로 1434,,20230927,중개거래,인천 부평구
인천광역시 부평구 부평동,149-25,149,25,헤리움아파트,79.24,202309,14,"23,500",5,2011,장제로101번길 26,, ,중개거래,"인천 미추홀구, 인천 부평구"
인천광역시 부평구 부평동,401-33,401,33,현대캐슬,72.31,202309,5,"20,000",7,2012,부흥북로48번길 23,,20231005,중개거래,인천 부평구
