시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,중개사소재지
인천광역시 부평구 부평동,134-15,134,15,DH씨밀레,45.47,202307,22,"18,000",8,2013,장제로110번길 4,,20230821,중개거래,인천 부평구
인천광역시 부평구 부평동,507-2,507,2,M-City,19.39,202307,17,"7,900",11,2014,장제로 62,,20230719,중개거래,인천 부평구
인천광역시 부평구 부평동,507-2,507,2,M-City,19.39,202307,19,"8,100",8,2014,장제로 62,,20230807,중개거래,인천 부평구
인천광역시 부평구 부평동,124-21,124,21,MV,56.7,202307,13,"20,000",14,2015,장제로 162,,20230816,중개거래,인천 부평구
인천광역시 부평구 부평동,124-21,124,21,MV,57.83,202307,28,"19,000",13,2015,장제로 162,,20230803,중개거래,인천 부평구
인천광역시 부평구 부평동,124-32,124,32,갤럭시,49.97,202307,25,"18,500",5,2015,장제로 160,, ,중개거래,경기 부천시
인천광역시 부평구 부평동,222-4,222,4,노블레스뷰,41.14,202307,10,"17,600",2,2015,시장로61번길 6,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,505-10,505,10,늘푸른아파트,76.75,202307,19,"18,000",8,2008,장제로52번길 15,,20230724,직거래,-
인천광역시 부평구 부평동,505-10,505,10,늘푸른아파트,76.75,202307,19,"18,000",10,2008,장제로52번길 15,,20230724,직거래,-
인천광역시 부평구 부평동,64-20,64,20,대림1차,84.998,202307,8,"36,000",14,1989,부영로 196,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,64-20,64,20,대림1차,76.388,202307,22,"30,700",7,1989,부영로 196,,20230904,중개거래,인천 부평구
인천광역시 부평구 부평동,64-20,64,20,대림1차,84.998,202307,27,"36,500",6,1989,부영로 196,,20230926,중개거래,인천 부평구
인천광역시 부평구 부평동,May-70,70,5,동아(1차),76.74,202307,6,"46,500",5,1986,부평문화로 37,,20230726,중개거래,인천 부평구
인천광역시 부평구 부평동,May-70,70,5,동아(1차),84.87,202307,11,"53,800",13,1986,부평문화로 37,,20230822,중개거래,인천 부평구
인천광역시 부평구 부평동,May-70,70,5,동아(1차),84.87,202307,11,"53,800",13,1986,부평문화로 37,20230822, ,중개거래,인천 부평구
인천광역시 부평구 부평동,May-70,70,5,동아(1차),122.65,202307,15,"65,000",5,1986,부평문화로 37,,20230914,중개거래,인천 부평구
인천광역시 부평구 부평동,May-70,70,5,동아(1차),122.65,202307,17,"44,500",5,1986,부평문화로 37,,20230717,직거래,-
인천광역시 부평구 부평동,May-70,70,5,동아(1차),52.43,202307,17,"34,800",12,1986,부평문화로 37,,20231005,중개거래,인천 부평구
인천광역시 부평구 부평동,May-70,70,5,동아(1차),52.43,202307,20,"34,000",4,1986,부평문화로 37,,20231004,중개거래,인천 부평구
인천광역시 부평구 부평동,May-70,70,5,동아(1차),76.74,202307,24,"50,800",8,1986,부평문화로 37,,20231004,중개거래,인천 부평구
인천광역시 부평구 부평동,May-70,70,5,동아(1차),76.74,202307,29,"49,400",3,1986,부평문화로 37,,20230914,중개거래,인천 부평구
인천광역시 부평구 부평동,70-123,70,123,동아(2차),164.86,202307,1,"73,000",11,1995,부흥로 246,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,70-123,70,123,동아(2차),59.82,202307,2,"36,000",16,1995,부흥로 246,,20230926,중개거래,인천 부평구
인천광역시 부평구 부평동,70-123,70,123,동아(2차),59.82,202307,2,"36,000",16,1995,부흥로 246,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,534-96,534,96,두산위브,84.84,202307,22,"45,000",3,2005,경원대로1344번길 8,, ,중개거래,경기 부천시
인천광역시 부평구 부평동,146-26,146,26,라일플로리스,18.77,202307,3,"6,350",10,2012,장제로 125,,20230713,중개거래,인천 부평구
인천광역시 부평구 부평동,947,947,0,래미안부평,84.993,202307,6,"52,500",1,2014,길주남로10번길 21,,20230719,중개거래,인천 부평구
인천광역시 부평구 부평동,947,947,0,래미안부평,84.963,202307,15,"52,000",1,2014,길주남로10번길 21,,20230825,중개거래,인천 부평구
인천광역시 부평구 부평동,947,947,0,래미안부평,84.968,202307,19,"61,500",15,2014,길주남로10번길 21,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,947,947,0,래미안부평,59.923,202307,28,"47,000",18,2014,길주남로10번길 21,,20230822,중개거래,인천 부평구
인천광역시 부평구 부평동,947,947,0,래미안부평,84.963,202307,31,"58,200",8,2014,길주남로10번길 21,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,377-17,377,17,로뎀레뷰(377-17),49.7,202307,10,"18,300",7,2014,부흥북로72번길 7,,20230821,중개거래,인천 부평구
인천광역시 부평구 부평동,433-70,433,70,리코팰리스(433-70),47.3505,202307,16,"19,700",8,2015,주부토로81번길 43,,20230807,중개거래,인천 부평구
인천광역시 부평구 부평동,441-20,441,20,리코팰리스(441-20),58.1004,202307,15,"20,000",6,2016,부흥로293번길 24,20230806, ,중개거래,인천 부평구
인천광역시 부평구 부평동,441-20,441,20,리코팰리스(441-20),58.1004,202307,15,"20,000",6,2016,부흥로293번길 24,,20230915,중개거래,인천 부평구
인천광역시 부평구 부평동,500-19,500,19,리코팰리스1차,46.8,202307,15,"15,500",6,2013,동수천로7번길 10,, ,직거래,-
인천광역시 부평구 부평동,500-2,500,2,리코팰리스2차,48.18,202307,14,"17,800",6,2013,동수천로7번길 6,,20230811,중개거래,인천 부평구
인천광역시 부평구 부평동,938,938,0,부평LH2단지,59.96,202307,6,"32,500",3,2012,동수로120번길 43,,20230823,중개거래,인천 부평구
인천광역시 부평구 부평동,995,995,0,부평역화성파크드림,84.8184,202307,2,"53,900",14,2020,동수로 80,,20230830,중개거래,인천 부평구
인천광역시 부평구 부평동,995,995,0,부평역화성파크드림,75.8025,202307,21,"52,500",21,2020,동수로 80,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,995,995,0,부평역화성파크드림,59.93,202307,26,"43,000",12,2020,동수로 80,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,452-11,452,11,블루밍아파트A동,58.38,202307,23,"20,500",12,2016,장제로76번길 21,,20230825,중개거래,"경기 부천시, 인천 부평구"
인천광역시 부평구 부평동,452-26,452,26,블루밍아파트B동,55.35,202307,6,"20,000",10,2016,장제로76번길 25,,20230808,중개거래,인천 부평구
인천광역시 부평구 부평동,452-26,452,26,블루밍아파트B동,49.7,202307,19,"17,400",4,2016,장제로76번길 25,,20230919,중개거래,인천 부평구
인천광역시 부평구 부평동,457-1,457,1,삼성캐슬(457-1),59.78,202307,24,"19,000",9,2015,충선로 11,,20230908,중개거래,인천 부평구
인천광역시 부평구 부평동,518-1,518,1,스위트홈1동,44.88,202307,29,"18,300",5,2015,장제로 100,,20230918,중개거래,인천 부평구
인천광역시 부평구 부평동,756-421,756,421,신성미소지움아파트(101~106동),84.872,202307,8,"33,000",13,2005,경인로 858,,20230811,중개거래,인천 부평구
인천광역시 부평구 부평동,140-6,140,6,신영(1동2동),46.73,202307,21,"25,000",1,1983,길주남로90번길 45,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,Jul-65,65,7,욱일,84.16,202307,4,"29,900",3,1990,부흥로243번길 39,,20230728,중개거래,"서울 양천구, 인천 부평구"
인천광역시 부평구 부평동,375-126,375,126,위너스빌2,47.33,202307,14,"19,500",13,2013,주부토로 76,,20230728,중개거래,인천 부평구
인천광역시 부평구 부평동,126-9,126,9,유진마젤란주상복합,75.688,202307,17,"21,000",3,2005,장제로 150,,20230718,중개거래,인천 부평구
인천광역시 부평구 부평동,415-8,415,8,인스테이션,21.94,202307,17,"7,000",13,2012,주부토로 48,,20230725,중개거래,인천 부평구
인천광역시 부평구 부평동,70-78,70,78,창보,84.98,202307,25,"32,500",1,1999,부영로166번길 16,, ,중개거래,인천 부평구
인천광역시 부평구 부평동,135-9,135,9,첼시아파트,59.87,202307,12,"22,800",5,2011,부평문화로115번길 20,,20230712,직거래,-
인천광역시 부평구 부평동,180-24,180,24,태강,54.59,202307,23,"16,000",9,2002,장제로 49,,20230824,중개거래,인천 부평구
인천광역시 부평구 부평동,439-2,439,2,태강CITY,49.92,202307,30,"25,500",13,2018,부평대로 108,, ,중개거래,경기 부천시
인천광역시 부평구 부평동,577-2,577,2,퍼스트City56,49.38,202307,27,"12,400",13,2015,대정로 76,,20230807,직거래,-
인천광역시 부평구 부평동,442-3,442,3,한국,84.02,202307,12,"27,000",7,1992,동수로120번길 11,,20230814,중개거래,인천 부평구
